Title,Date
"Heartland: Temporada 7: Demoliciones","2/8/20"
"Heartland: Temporada 7: Vive el presente","2/8/20"
"Heartland: Temporada 7: Enfrenta la realidad","2/8/20"
"Heartland: Temporada 6: Bajo presión","2/8/20"
"Heartland: Temporada 1: De vuelta en casa","2/8/20"
"No te metas con los gatos: Un asesino en internet: Miniserie: La red se cierra","2/8/20"
"Yo antes de ti","2/8/20"
"No te metas con los gatos: Un asesino en internet: Miniserie: El gato y el ratón","2/7/20"
"Los caballeros del zodíaco: Temporada 5: Episodio 92","2/6/20"
"Los caballeros del zodíaco: Temporada 5: Episodio 91","2/6/20"
"Luna nera: Luz","2/4/20"
" : Episodio 7","2/4/20"
" : Episodio 6","2/4/20"
"Luna nera: Armas","2/3/20"
"Luna nera: Destino","2/2/20"
"La influencia","2/2/20"
"Luna nera: Voces","2/2/20"
"Luna nera: Libro","2/2/20"
"Luna nera: Presagio","2/2/20"
"La reina del flow: Temporada 1: Episodio 2","1/31/20"
"La reina del flow: Temporada 1: Episodio 1","1/31/20"
"You: Temporada 2: Realmente amor","1/30/20"
"You: Temporada 2: Detective Joe","1/30/20"
"You: Temporada 2: Pánico y locura en Beverly Hills","1/30/20"
"La propuesta","1/30/20"
"Los caballeros del zodíaco: Temporada 5: Episodio 90","1/28/20"
"Los caballeros del zodíaco: Temporada 5: Episodio 89","1/27/20"
"Los caballeros del zodíaco: Temporada 5: Episodio 88","1/27/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintiocho: Sabrina es leyenda","1/26/20"
"Modo avión","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintisiete: El beso de Judas","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintiséis: Todas esas brujas","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veinticinco: El diablo dentro","1/26/20"
"Oh, Ramona!","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veinticuatro: La Luna de la Liebre","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintitrés: La pesada corona","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintidós: Arrástrame al infierno","1/26/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintiuno: El corazón destinado al infierno","1/25/20"
" : Episodio 5","1/24/20"
"Black Mirror: Temporada 3: Caída en picada","1/23/20"
"Black Mirror: Temporada 4: Black Museum","1/23/20"
"Black Mirror: Temporada 3: Cállate y baila","1/23/20"
"Mi vida a los diecisiete","1/22/20"
" : Episodio 4","1/21/20"
"Apache: La vida de Carlos Tevez: El gran día","1/20/20"
"Apache: La vida de Carlos Tevez: Las dos caras de una moneda","1/20/20"
"Apache: La vida de Carlos Tevez: Dos madres, un acto de amor","1/20/20"
"13 Reasons Why: Temporada 3: Siempre esperas la próxima mala noticia","1/17/20"
"13 Reasons Why: Temporada 3: En la secundaria, es difícil saber quién está de tu lado","1/17/20"
" : Episodio 3","1/15/20"
"The Client List: La exfoliación azucarada","1/15/20"
"Much Loved","1/15/20"
"The Witcher: Temporada 1: Mucho más","1/13/20"
"The Witcher: Temporada 1: Antes de la caída","1/13/20"
"Vivir dos veces","1/12/20"
"You: Temporada 1: El castillo de Barba Azul","1/10/20"
"Marvel's Agents of S.H.I.E.L.D.: Piloto","1/10/20"
"La gran muralla","1/10/20"
" : Episodio 2","1/9/20"
" : Episodio 3","1/9/20"
" : Episodio 2","1/9/20"
" : Episodio 1","1/9/20"
"The Witcher: Temporada 1: Especies raras","1/9/20"
"The Witcher: Temporada 1: Apetitos incontenibles","1/9/20"
"The Witcher: Temporada 1: Banquetes, bastardos y entierros","1/9/20"
"Nisman: El fiscal, la presidenta y el espía: Episodio 2","1/9/20"
"Nisman: El fiscal, la presidenta y el espía: Episodio 1","1/9/20"
"You: Temporada 1: Viviendo con el enemigo","1/9/20"
"You: Temporada 1: El Capitán","1/9/20"
"You: Temporada 1: Tal vez","1/9/20"
"El sexo, en pocas palabras: Miniserie: Fantasías sexuales","1/8/20"
" : Episodio 1","1/8/20"
"The Witcher: Temporada 1: Luna traicionera","1/8/20"
" : Episodio 13","1/7/20"
" : Episodio 12","1/7/20"
"Black Mirror: Temporada 4: USS Callister","1/6/20"
"The Witcher: Temporada 1: Cuatro marcos","1/5/20"
" : Episodio 11","1/5/20"
"Todas las pecas del mundo","1/3/20"
" : Episodio 10","1/3/20"
"El vecino: Temporada 1: Desde el espacio exterior","1/3/20"
"Hermano","12/31/19"
" : Episodio 9","12/31/19"
"Un Mar De Enredos","12/30/19"
" : Episodio 8","12/30/19"
"Rebelde Way: temporada 1: Capítulo 8","12/29/19"
"Rebelde Way: temporada 1: Capítulo 7","12/29/19"
"Rebelde Way: temporada 1: Capítulo 6","12/29/19"
" : Episodio 7","12/28/19"
" : Episodio 6","12/28/19"
"The I-Land: Miniserie: Magnífico mundo nuevo","12/27/19"
"Un lugar para soñar: Temporada 1: Seguir adelante","12/26/19"
"Perdidos en el espacio: Temporada 1: Impacto","12/26/19"
"Perdidos en el espacio: Temporada 1: Transmisión","12/26/19"
"Capitán América: Guerra civil","12/26/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 87","12/25/19"
" : Episodio 5","12/25/19"
" : Episodio 4","12/25/19"
"Klaus","12/25/19"
"Lindas mentirosas: Temporada 4: Una guía de mentirosas por Rosewood","12/23/19"
"Rebelde Way: temporada 1: Capítulo 5","12/23/19"
"Rebelde Way: temporada 1: Capítulo 4","12/23/19"
"Guardianes de la galaxia","12/22/19"
"Fractura","12/20/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 86","12/19/19"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 5","12/18/19"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 4","12/18/19"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 3","12/18/19"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 2","12/18/19"
"Resident Evil 3: La extinción","12/18/19"
"Resident Evil 5: La venganza","12/18/19"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 1","12/18/19"
"Alta mar: Temporada 1: Los anillos","12/17/19"
"Alta mar: Temporada 1: El albatros","12/17/19"
"Los Briceño: Episodio 1","12/17/19"
"Mitomanía: Episodio 5","12/17/19"
"Resident Evil: Capítulo final","12/17/19"
"Mitomanía: Episodio 4","12/17/19"
"Mitomanía: Episodio 3","12/17/19"
"Mitomanía: Episodio 2","12/17/19"
"Mitomanía: Episodio 1","12/17/19"
"Daybreak: ¡Atrapatontos!","12/16/19"
"Daybreak: Josh contra el apocalipsis: Parte 1","12/16/19"
"Rebelde Way: temporada 1: Capítulo 3","12/16/19"
"Rebelde Way: temporada 1: Capítulo 2","12/16/19"
"Rebelde Way: temporada 1: Capítulo 1","12/16/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 85","12/15/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 84","12/15/19"
"Conversaciones con asesinos: Las cintas de Ted Bundy: Uno de nosotros","12/15/19"
"Historia de un matrimonio","12/15/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 83","12/15/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 82","12/15/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 81","12/15/19"
"Navidad en casa: Temporada 1: Citas y algo más","12/14/19"
"Navidad en casa: Temporada 1: La gran mentira navideña","12/14/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 80","12/13/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 79","12/13/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 78","12/13/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 77","12/13/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 76","12/12/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 75","12/11/19"
"Los caballeros del zodíaco: Temporada 5: Episodio 74","12/11/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 73","12/11/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 72","12/11/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 71","12/11/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 70","12/11/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 69","12/11/19"
"Cómo ser soltera","12/9/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 68","12/8/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 67","12/8/19"
"Belleza inesperada","12/7/19"
"Un príncipe de Navidad: Bebé real","12/7/19"
"El club: MAM Hadas","12/7/19"
"El club: Misión complicada","12/7/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 66","12/7/19"
"El club: MDMA y malas ideas","12/7/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 65","12/7/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 64","12/7/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 63","12/7/19"
"Edha: La marca de la venganza","12/7/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 62","12/6/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 61","12/6/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 60","12/6/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 59","12/4/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 58","12/4/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 57","12/4/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 56","12/4/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 55","12/4/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 54","12/4/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 53","12/3/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 52","12/3/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 51","12/3/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 50","12/2/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 49","12/2/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 48","12/2/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 47","12/1/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 46","12/1/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 45","12/1/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 44","12/1/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 43","12/1/19"
"13 Reasons Why: Temporada 3: Hay una serie de problemas con Clay Jensen","11/30/19"
"13 Reasons Why: Temporada 3: Se puede decir mucho sobre una persona por su dolor","11/30/19"
"13 Reasons Why: Temporada 3: Nadie está limpio","11/29/19"
"Los caballeros del zodíaco: Temporada 4: Episodio 42","11/29/19"
"Los caballeros del zodíaco: Temporada 3: La crisis de Athena","11/29/19"
"Los caballeros del zodíaco: Temporada 3: La partida","11/29/19"
"Los caballeros del zodíaco: Temporada 3: Shiryu contra Máscara Mortal","11/29/19"
"Los caballeros del zodíaco: Temporada 3: Ataquen, Santos Dorados","11/29/19"
"Los caballeros del zodíaco: Temporada 3: La decisión del casco","11/29/19"
"Bajo la mirada de nadie: No es ángel, es ángelus","11/28/19"
"Bajo la mirada de nadie: Prueba un poco","11/28/19"
"Bajo la mirada de nadie: El azar no es casualidad","11/28/19"
"Bajo la mirada de nadie: ¡Santo hámster!","11/28/19"
"Bajo la mirada de nadie: ¡Ay, dios!","11/28/19"
"13 Reasons Why: Temporada 3: Enojado, joven y hombre","11/27/19"
"Riverdale: Temporada 1: Capítulo 7: En un lugar solitario","11/27/19"
"Riverdale: Temporada 1: Capítulo 6: La mujer del cuadro","11/27/19"
"Riverdale: Temporada 1: Capítulo 5: El corazón de las tinieblas","11/27/19"
"No hay tiempo para la vergüenza: Episodio 1","11/26/19"
"13 Reasons Why: Temporada 3: La persona buena no se distingue de la mala","11/25/19"
"13 Reasons Why: Temporada 3: Si respiras, mientes","11/25/19"
"13 Reasons Why: Temporada 3: Sí, soy la chica nueva","11/25/19"
"Los caballeros del zodíaco: Temporada 3: Doce juegos de ropa dorada","11/25/19"
"13 Reasons Why: Temporada 2: Adiós","11/25/19"
"13 Reasons Why: Temporada 2: La caja de Polaroids","11/25/19"
"13 Reasons Why: Temporada 2: Bryce y Chloe","11/25/19"
"13 Reasons Why: Temporada 2: Sonrían, perras","11/25/19"
"El recluso: Episodio 5","11/24/19"
"13 Reasons Why: Temporada 2: La página faltante","11/24/19"
"Los caballeros del zodíaco: Temporada 3: La esperanza de Seiya","11/24/19"
"Los caballeros del zodíaco: Temporada 3: Adiós, camarada","11/24/19"
"13 Reasons Why: Temporada 2: La niña","11/23/19"
"Los caballeros del zodíaco: Temporada 3: El llanto del Dragón","11/23/19"
"Los caballeros del zodíaco: Temporada 3: La isla de la Reina Muerte","11/23/19"
"Los caballeros del zodíaco: Temporada 2: La línea entre la vida y la muerte","11/23/19"
"Mortal: Temporada 1: Archimuertos","11/23/19"
"13 Reasons Why: Temporada 2: La tercera Polaroid","11/23/19"
"Los caballeros del zodíaco: Temporada 2: El ardiente cosmos del amor","11/22/19"
"13 Reasons Why: Temporada 2: La sonrisa al final del muelle","11/22/19"
"Los caballeros del zodíaco: Temporada 2: El secuestro de Saori","11/22/19"
"Los caballeros del zodíaco: Temporada 2: El sacrificio del Dragón","11/22/19"
"13 Reasons Why: Temporada 2: La máquina de tiza","11/22/19"
"Los caballeros del zodíaco: Temporada 2: Seiya se convierte en piedra","11/22/19"
"13 Reasons Why: Temporada 2: La segunda Polaroid","11/22/19"
"13 Reasons Why: Temporada 2: Zorra ebria","11/22/19"
"13 Reasons Why: Temporada 2: Dos chicas y un beso","11/22/19"
"13 Reasons Why: Temporada 2: La primera Polaroid","11/22/19"
"El señor de los anillos: La comunidad del anillo","11/22/19"
"En carne propia: Los últimos días de Stefano Cucchi","11/22/19"
"Los caballeros del zodíaco: Temporada 2: ¿Amigos o enemigos?","11/22/19"
"Los caballeros del zodíaco: Temporada 2: La revelación","11/22/19"
"Los caballeros del zodíaco: Temporada 2: El vuelo de Pegaso","11/22/19"
"Los caballeros del zodíaco: Temporada 2: El ángel de la muerte","11/22/19"
"Los caballeros del zodíaco: Temporada 2: El caballero de la Llama","11/22/19"
"La casa de las flores: Temporada 2: HELICONIA (Símb. fertilidad)","11/21/19"
"La casa de las flores: Temporada 2: GERANIO (Símb. consuelo)","11/21/19"
"13 Reasons Why: Temporada 1: Casete siete, lado A","11/21/19"
"La casa de las flores presenta: El funeral","11/21/19"
"La casa de las flores: Temporada 2: CLAVEL (Símb. capricho)","11/21/19"
"La casa de las flores: Temporada 2: ACACIA (Símb. amor secreto)","11/21/19"
"La casa de las flores: Temporada 2: ALMENDRO (Símb. despertar)","11/21/19"
"13 Reasons Why: Temporada 1: Casete seis, lado B","11/21/19"
"13 Reasons Why: Temporada 1: Casete seis, lado A","11/20/19"
"13 Reasons Why: Temporada 1: Casete cinco, lado B","11/20/19"
"13 Reasons Why: Temporada 1: Casete cinco, lado A","11/20/19"
"13 Reasons Why: Temporada 1: Casete cuatro, lado B","11/20/19"
"13 Reasons Why: Temporada 1: Casete cuatro, lado A","11/20/19"
"13 Reasons Why: Temporada 1: Casete tres, lado B","11/19/19"
"13 Reasons Why: Temporada 1: Casete tres, lado A","11/19/19"
"Peleador callejero","11/19/19"
"13 Reasons Why: Temporada 1: Casete dos, lado B","11/18/19"
"Atypical: Temporada 1: Esa es mi sudadera","11/18/19"
"Atypical: Temporada 1: Un aroma neutro","11/18/19"
"Atypical: Temporada 1: Julia dijo","11/18/19"
"13 Reasons Why: Temporada 1: Casete dos, lado A","11/18/19"
"13 Reasons Why: Temporada 1: Casete uno, lado B","11/18/19"
"Virgen a los 40","11/18/19"
"13 Reasons Why: Temporada 1: Casete uno, lado A","11/18/19"
"La lista de no besar de Naomi y Ely","11/16/19"
"7 deseos","11/16/19"
"Los caballeros del zodíaco: Temporada 2: La pirámide de hielo","11/16/19"
"Los caballeros del zodíaco: Temporada 2: La traición del señor de los hielos","11/16/19"
"Los caballeros del zodíaco: Temporada 2: La isla del Espectro","11/16/19"
"Los caballeros del zodíaco: Temporada 2: ¡Los caballeros de los abismos!","11/16/19"
"Los caballeros del zodíaco: Temporada 2: El rescate de Saori","11/16/19"
"Historias de San Francisco: Miniserie: Volver","11/15/19"
"Los caballeros del zodíaco: Temporada 2: El ataque a la fundación","11/15/19"
"Los caballeros del zodíaco: El secreto del Fénix","11/15/19"
"Los caballeros del zodíaco: La derrota del Fantasma del Diablo","11/15/19"
"Los caballeros del zodíaco: Hazañas explosivas","11/15/19"
"Los caballeros del zodíaco: Las cadenas de la amistad","11/15/19"
"Los caballeros del zodíaco: ¡Seiya se enfrenta con su doble!","11/15/19"
"Los caballeros del zodíaco: La tumba de la armadura sagrada","11/15/19"
"Slasher: El verdugo: Ojo por ojo","11/14/19"
"La casa de las flores: Temporada 2: LOTO (Símb. misterio)","11/14/19"
"La casa de las flores: Temporada 2: IRIS (Símb. fe)","11/14/19"
"La casa de las flores: Temporada 2: ROSA (Símb. unidad)","11/14/19"
"Los caballeros del zodíaco: Los caballeros del apocalipsis","11/14/19"
"Los caballeros del zodíaco: En busca de la armadura de oro","11/14/19"
"Los caballeros del zodíaco: La venganza del caballero Fénix","11/14/19"
"Los caballeros del zodíaco: ¡Fénix! El guerrero que viene del infierno","11/14/19"
"Actividad paranormal 4","11/14/19"
"Los caballeros del zodíaco: La resurrección del Dragón","11/10/19"
"Los caballeros del zodíaco: El caballero Dragón","11/10/19"
"Los caballeros del zodíaco: ¡Cisne! El guerrero de los hielos","11/10/19"
"Los caballeros del zodíaco: ¡Cuando Seiya viste la armadura de Pegaso!","11/10/19"
"Los caballeros del zodíaco: Las leyendas de una nueva era","11/10/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo veinte: El vals de Mefistófeles","11/9/19"
"Love, Death & Robots: Volumen 1: LA VENTAJA DE SONNIE","11/6/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo diecinueve: La mandrágora","11/5/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo dieciocho: Los milagros de Sabrina Spellman","11/5/19"
"El Chapo: Temporada 3: Episodio 4","11/4/19"
"El Chapo: Temporada 3: Episodio 3","11/4/19"
"El recluso: Episodio 4","11/4/19"
"El Chapo: Temporada 3: Episodio 2","11/4/19"
"El recluso: Episodio 3","11/4/19"
"El recluso: Episodio 2","11/4/19"
"Buscando a Dory","11/4/19"
"El recluso: Episodio 1","11/4/19"
"La casa de las flores: Temporada 1: PETUNIA (Símb. resentimiento)","11/4/19"
"La casa de las flores: Temporada 1: LIRIO (Símb. libertad)","11/4/19"
"La casa de las flores: Temporada 1: CRISANTEMO (Símb. dolor)","11/4/19"
"Insatiable: Temporada 2: Cerda","11/4/19"
"Las chicas del cable: Temporada 4: Capítulo 32: La suerte","11/4/19"
"Lindas mentirosas: Temporada 4: Choza de amor","11/4/19"
"Lindas mentirosas: Temporada 4: ¿Quién está en la caja?","11/4/19"
"Monarca: Temporada 1: Fondo","11/3/19"
"Amor en obras","11/3/19"
"Monarca: Temporada 1: La otra realidad","11/2/19"
"La masacre de Texas 3","11/2/19"
"Las chicas del cable: Temporada 4: Capítulo 31: La felicidad","11/1/19"
"¿...Y dónde están las rubias?","10/30/19"
"Lindas mentirosas: Temporada 4: Nuevo mundo de ultratumba","10/30/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo diecisiete: Los misioneros","10/26/19"
"Lindas mentirosas: Temporada 3: La miseria ama la compañía","10/25/19"
"Lindas mentirosas: Temporada 3: Mona-manía","10/25/19"
"Lindas mentirosas: Temporada 3: Está mejor ahora","10/24/19"
"Lindas mentirosas: Temporada 3: Un oscuro paseo","10/24/19"
"Yo soy Betty, la fea: Episodio 1","10/24/19"
"Lindas mentirosas: Temporada 3: La dama asesina","10/23/19"
"Lindas mentirosas: Temporada 3: Una mujer asustada","10/22/19"
"Lindas mentirosas: Temporada 3: La verdad oculta","10/21/19"
"Lindas mentirosas: Temporada 3: El juego de Kahn","10/21/19"
"Lindas mentirosas: Temporada 3: Besos robados","10/21/19"
"Cómo criar a un superhéroe: Temporada 1: N.º 101: Criar a un superhéroe","10/20/19"
"Cómo criar a un superhéroe: Temporada 1: N.º 102: La fortaleza de la soledad","10/20/19"
"Warda","10/20/19"
"Que te trague el infierno","10/20/19"
"Lo que vi: Temporada 2: Culto de tortura","10/19/19"
"Dulce venganza 2","10/19/19"
"Lo que vi: Temporada 1: La lápida robada","10/19/19"
"Lo que vi: Temporada 2: El Imitador","10/18/19"
"Sintonía: Temporada 1: Sincronizados","10/18/19"
"Sintonía: Temporada 1: Tu huella en el mundo","10/18/19"
"Sintonía: Temporada 1: Lo correcto","10/18/19"
"Sintonía: Temporada 1: Otra oportunidad","10/18/19"
"Sintonía: Temporada 1: Hice algo malo","10/18/19"
"Sintonía: Temporada 1: Agarraron a Cacau","10/17/19"
"¿Qué le pasó a Lunes?","10/13/19"
"La fiesta de las salchichas","10/13/19"
"Lindas mentirosas: Temporada 3: Loca","10/11/19"
"Tirador","10/7/19"
"El Dragón: El regreso de un guerrero: Temporada 1: Episodio 2","10/6/19"
"El Dragón: El regreso de un guerrero: Temporada 1: Episodio 1","10/5/19"
"Marianne: Es una tradición","10/4/19"
"The Rain: Temporada 2: Eviten hacer contacto","10/3/19"
"Vis a vis: Temporada 4: La marea amarilla","10/3/19"
"Cincuenta sombras más oscuras","10/2/19"
"The A List: Temporada 1: Hora de matar","9/26/19"
"The A List: Temporada 1: Capturar al rey","9/26/19"
"The A List: Temporada 1: Convertirse en reina","9/26/19"
"The A List: Temporada 1: Retomar el control","9/26/19"
"The A List: Temporada 1: Por fin ha llegado","9/26/19"
"Intercambio de princesas","9/26/19"
"(Des)encanto: Parte 1: La fiesta roja","9/24/19"
"Perdidos en el espacio: Temporada 1: Los Robinson estuvieron aquí","9/23/19"
"A mi altura","9/22/19"
"Insatiable: Temporada 1: KITTY66","9/22/19"
"Perdidos en el espacio: Temporada 1: Infestación","9/21/19"
"Perdidos en el espacio: Temporada 1: Diamantes en el cielo","9/21/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo dieciséis: Blackwood","9/20/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo quince: La casa de terror del Dr. Cerberus","9/20/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo catorce: Las Lupercales","9/20/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo trece: La pasión de Sabrina Spellman","9/18/19"
"Los Caballeros del Zodiaco: La saga de Hades: Santuario: El inicio de la guerra de los infiernos","9/17/19"
"Insatiable: Temporada 1: Patrocinada por Salchicha y Taco","9/16/19"
"Inconcebible: Miniserie: Episodio 8","9/16/19"
"Inconcebible: Miniserie: Episodio 7","9/16/19"
"Inconcebible: Miniserie: Episodio 6","9/16/19"
"Inconcebible: Miniserie: Episodio 5","9/16/19"
"Inconcebible: Miniserie: Episodio 4","9/16/19"
"Inconcebible: Miniserie: Episodio 3","9/16/19"
"Inconcebible: Miniserie: Episodio 2","9/16/19"
"Inconcebible: Miniserie: Episodio 1","9/15/19"
"La reina del flow: Temporada 1: Episodio 31","9/14/19"
"Baile caliente","9/14/19"
"El mundo oculto de Sabrina: Parte 2: Capítulo doce: La epifanía","9/12/19"
"El mundo oculto de Sabrina: Parte 1: Capítulo once: Un cuento invernal","9/12/19"
"El mundo oculto de Sabrina: Parte 1: Capítulo diez: La hora de las brujas","9/11/19"
"La razón de estar contigo","9/9/19"
"Nuestro último verano","9/9/19"
"Psiconautas: Fabiana","9/9/19"
"Psiconautas: Un Argentino Nacido en España","9/9/19"
"Black Mirror: Temporada 3: San Junípero","9/8/19"
"Black Mirror: Temporada 1: Toda tu historia","9/8/19"
"Conociendo a los Black","9/7/19"
"Mejores que nosotros: Episodio 7","9/6/19"
"Mejores que nosotros: Episodio 6","9/5/19"
"Mejores que nosotros: Episodio 5","9/5/19"
"Mejores que nosotros: Episodio 4","9/5/19"
"Mejores que nosotros: Episodio 3","9/5/19"
"Mejores que nosotros: Episodio 2","9/5/19"
"Mejores que nosotros: Episodio 1","9/5/19"
"Insatiable: Temporada 1: Señorita Dulce Jesús","9/5/19"
"Insatiable: Temporada 1: Soy tu hoyo","9/3/19"
"Riverdale: Temporada 1: Capítulo 2: Las sombras del mal","9/1/19"
"4 latas","9/1/19"
" : Episodio 13","8/31/19"
" : Episodio 12","8/31/19"
" : Episodio 11","8/31/19"
" : Episodio 10","8/29/19"
"Lindas mentirosas: Temporada 3: Las pistas de A","8/29/19"
"Clinical","8/28/19"
"The Doll","8/28/19"
"Lindas mentirosas: Temporada 3: Esa niña es veneno","8/28/19"
"El laberinto del fauno","8/27/19"
"El otro hermano","8/26/19"
"Alien Warfare","8/26/19"
"1922","8/26/19"
" : Episodio 9","8/26/19"
"Sing: ¡Ven y canta!","8/25/19"
"Los Elegidos","8/25/19"
"Superstition: Piloto","8/25/19"
"Perdidos en el espacio: Temporada 1: Trayectoria","8/25/19"
"Perdidos en el espacio: Temporada 1: Peligro, Will Robinson","8/25/19"
"Otra vida: Temporada 1: Crisis nerviosa","8/25/19"
"Otra vida: Temporada 1: Por valles tenebrosos","8/25/19"
"Otra vida: Temporada 1: Por todo el universo","8/25/19"
" : Episodio 8","8/23/19"
" : Episodio 7","8/23/19"
" : Episodio 6","8/23/19"
"Las chicas del cable: Temporada 4: Capítulo 30: La duda","8/23/19"
"Las chicas del cable: Temporada 4: Capítulo 29: La vida","8/23/19"
"Las chicas del cable: Temporada 4: Capítulo 28: El miedo","8/23/19"
"Frontera verde: Miniserie: Los caminantes","8/23/19"
"Frontera verde: Miniserie: La manigua","8/23/19"
"Déjà Vu","8/23/19"
" : Episodio 5","8/22/19"
" : Episodio 4","8/21/19"
" : Episodio 3","8/21/19"
"Sherlock: Temporada 2: Las cataratas de Reichenbach","8/20/19"
"Genio del mal: Miniserie: Parte 4: Las confesiones","8/20/19"
"Genio del mal: Miniserie: Parte 3: Los sospechosos","8/19/19"
"Genio del mal: Miniserie: Parte 2: El cuerpo congelado","8/19/19"
"Genio del mal: Miniserie: Parte 1: El atraco","8/19/19"
"Van Helsing: Temporada 3: Ritual de nacimiento","8/19/19"
"Van Helsing: Temporada 3: Postura de Cristo","8/19/19"
"Van Helsing: Temporada 3: Estuve lejos","8/19/19"
"Narcos: Temporada 3: Sin salida","8/19/19"
"El perfume: Escatol","8/19/19"
"El perfume: Ámbar gris","8/19/19"
"Las chicas del cable: Temporada 4: Capítulo 27: La justicia","8/18/19"
"Soy leyenda","8/18/19"
"Las chicas del cable: Temporada 4: Capítulo 26: La libertad","8/18/19"
"Alicia a través del espejo","8/18/19"
"Van Helsing: Temporada 3: Mundo exterior","8/18/19"
"Van Helsing: Temporada 3: Amar fuerte","8/18/19"
"Van Helsing: Temporada 3: Pasos torcidos","8/18/19"
"Diagnóstico: Casos sin resolver: Detective","8/17/19"
"Anatomía según Grey: Temporada 2: Dueño de un corazón solitario","8/17/19"
"Van Helsing: Temporada 3: Persecución","8/17/19"
"Van Helsing: Temporada 3: Casi suicida","8/17/19"
"Van Helsing: Temporada 3: Nudo corredizo","8/17/19"
"Van Helsing: Temporada 3: Jaula oxidada","8/16/19"
"Van Helsing: Temporada 3: Viva","8/16/19"
"Las chicas del cable: Temporada 4: Capítulo 25: La igualdad","8/16/19"
"Las chicas del cable: Temporada 3: Capítulo 24: El destino","8/16/19"
"Van Helsing: Temporada 3: Desconocido","8/16/19"
"Van Helsing: Temporada 3: Zarcillos","8/16/19"
"Misión: Imposible - Nación secreta","8/15/19"
"Los ilusionistas 2","8/14/19"
"Extinción","8/12/19"
"Las chicas del cable: Temporada 3: Capítulo 23: La esperanza","8/12/19"
"Las chicas del cable: Temporada 3: Capítulo 22: La lucha","8/12/19"
"Las chicas del cable: Temporada 3: Capítulo 21: El pecado","8/12/19"
